Username,Review,Rating,Thumbsup,Date
FlGh,"A fantastic movie that reminds me a lot of Requiem for a dream. A movie without the need of CGI, it just relies on fantastic acting. It managed to be even better then Batman The Dark Night.I cannot believe that Hollywood is able to makeA fantastic movie that reminds me a lot of Requiem for a dream. A movie without the need of CGI, it just relies on fantastic acting. It managed to be even better then Batman The Dark Night.I cannot believe that Hollywood is able to make movies like this when it's full of superheroes and regurgitations.… Expand",10,0,"Jan  7, 2022"
lucassousaana,Best movie of the year. The Joaquin Phoenix perfomance is stunning. Masterpiece,10,1,"Jan  8, 2020"
Odoneod,"Script was not worthy of Phoenix who obviously worked hard, incredibly hard, on transforming his body.  Deniro added nothing to the film... He is out of touch with America and reality...as too many Hollywood  actors, directors, producers andScript was not worthy of Phoenix who obviously worked hard, incredibly hard, on transforming his body.  Deniro added nothing to the film... He is out of touch with America and reality...as too many Hollywood  actors, directors, producers and the like are.    I would love to reintroduce...or introduce...the out of touch with the working class.  I will gladly take any  Hollywood personnel to meet real people, real soldiers (Go Army)..(even would get brother and sister  Marines, Seamen, Airmen, and our  less celebrated, extremely talented, and equally important Coastguard)  so we could all sit down for a powwow... PS  Has  Quentin Tarantino made any movies that haven't lowered morale standards?… Expand",4,1,"Jan  8, 2020"
Poohead,Joaquin phoenix's performance is amazing but the film itself is a bit messy and some odd choices overall its a solid film with a good main performance,7,1,"Jan  8, 2020"
Angour,"This review contains spoilers, click expand to view.
        
Last decade DC has shown that some directors really ruin some legends, but 2k19 showed us this amazing, well written movie. Heath ledger's performance as the joker was in my opinion better. But Joaquin Phoenix gave us another great joker performance. He cleary showed Jared Letto that joker isn't just a character that anyone can play. The movie itself, is a masterpiece. Every performance in it is played so well. I also like how society reacts on the riots that happaned because of three killed people. Amazing! It begins with the sad life of Arthur Morgan, after the murder at the subway it begins to be a dramatic origin of the joker.… Expand",9,1,"Jan  8, 2020"
xSTiCKFiGAx,"What makes a good movie? For me it’s one that tells a story, makes you want to keep watching, evokes emotion, makes you forget you are merely watching actors on a set interpreting a script. The joker did all this for me.A fly on the wallWhat makes a good movie? For me it’s one that tells a story, makes you want to keep watching, evokes emotion, makes you forget you are merely watching actors on a set interpreting a script. The joker did all this for me.A fly on the wall you watch as a man tries to keep it together, with a brutal childhood he holds on to the only nice reassuring sentence ever spoken to him. That his existence was to make people laugh & be happy. With this idea in mind & Band-Aid fix medication a schizophrenic suicidal maniac courageously keeps it together & but it’s not enough. The world in all its selfish cruelty coupled with his disability hindering his mission, the very idea of himself is chipped away.  Slowly the Band-Aid comes off and with the right amount of cruelty he is pushed over the edge with deadly release.  You watch on as a monster emerges in front of your eyes. He sheds the past memories & his old skin, off the leash not caring if he lives or dies. Do you like him? No, but can you hate him? Finally accepted with the open arms of Gotham’s downtrodden he learns his true purpose. To entertain though misery & chaos. Well cast, acted & directed mature depiction of the Joker. Was the director trying to make a statement on the real world about nature of nature & victim blaming? Who knows it’s irrelevant because all that matters is the Joker’s reality as we sit back and watch his story emerge not yours.… Expand",8,1,"Jan  9, 2020"
AWESOM-0,"Being a fan of the Dark knight and Killing Joke comics this is the Joker story that I was waiting for. It was disturbing and kept me on the edge of my seat. Not normally a fan of Todd Phillips but this was knocked out of the park by him andBeing a fan of the Dark knight and Killing Joke comics this is the Joker story that I was waiting for. It was disturbing and kept me on the edge of my seat. Not normally a fan of Todd Phillips but this was knocked out of the park by him and Joaquin. Fitting that deniro was in it, seeing the similarities to taxi driver.… Expand",10,1,"Jan  9, 2020"
Blancobuffalo,"This review contains spoilers, click expand to view.
        
Far and away the most overrated film of our time. The writing is terrible and pretentious. Joaquin Phoenix is my favorite actor and this is by far his worst performance ever. It's just one long joke at the expense of anyone who paid to see this.… Expand",0,1,"Jan  9, 2020"
Hossein71,What the Way to show and feel this evolution and transition the Soul of human ، its not specific DC character ، Joker is US ...,9,1,"Jan  9, 2020"
Numidia,"It was a pleasant surprise, I didn't expect to love it so much, Phoenix is an amazing actor!",10,1,"Jan 10, 2020"
TERSY,"Great movie, very dark but done in a great way. Really explains the origins of the character and how he came to be.",9,0,"Jan 10, 2021"
monnef,"Good performance of main actor, interesting story about mental illness and the birth of a madman.",9,1,"Jan 11, 2020"
Uncleglen7781,Omggg this movie is so gargantuan i mean the composition of fish oil doesn't stand a chance against this crazily manufactured movie. I would 100% 10/10 a+ perfectly absolutely recommend. I would trade my grandma for this movie 100% .,10,2,"Jan 11, 2020"
YoMammy,"best ""REALISIC"" Batman movie.  There are no fake characters that would never show up in real life.  Everything in this movie could happen to anybody and if this is actually what the Joker's backstory is... then I sympathize with all of this.",10,2,"Jan 11, 2020"
Scizormen,This is a great movie which tells us in a more realistic way the character of the Joker today where comic-based movies depend on CGI. This movie shows us that no special effects or fictional stories are needed to tell the story of a villainThis is a great movie which tells us in a more realistic way the character of the Joker today where comic-based movies depend on CGI. This movie shows us that no special effects or fictional stories are needed to tell the story of a villain as is the joker this movie is a masterpiece… Expand,10,1,"Jan 11, 2020"
AJ_13,So good and sad movie. Joaquin's performance will leave anyone speechless. I can't understand why the critics give such a low rating lmao,8,0,"Jan 11, 2021"
Spiritvox,Hands down the best movie of the year! This is the best comic book adaptation ever! Love this movie saw it three times in the theater and now I own it. Fantastic on every level!,10,2,"Jan 12, 2020"
SlayerBeda,"An absolutely amazing movie about mental health issues and how society leaves people perceived as different or weird behind. It's a portrait of a society that is failing to help it's poorest and sickest members. Joaquin Phoenix does anAn absolutely amazing movie about mental health issues and how society leaves people perceived as different or weird behind. It's a portrait of a society that is failing to help it's poorest and sickest members. Joaquin Phoenix does an amazing job of showing us how Joker establishes his character and grows more resentful of the society he lives in. Outstanding performance throughout, great character development. A must see!!! Most amazing origin story!… Expand",10,2,"Jan 12, 2020"
krismartin,Brilliant movie mood thanks to the fabuolus music and to elaborate motion of the clown. Dance on stairs and in the loo is far beyond dc universe's or  hollywood's nowdays level. I would like to see batman after that!,10,2,"Jan 12, 2020"
Kwright5508,Great movie. Dark. Couldn’t turn away. Phoenix never disappoints. Ready for a sequel,8,1,"Jan 12, 2020"
Sootball,"Joaquin Phoenix did a stellar job conveying crazy, but the weak & predictable writing disabled my ability to suspend disbelief as the movie slogged through the same formula ad nauseam. A series of unfortunate events and the resulting heavyJoaquin Phoenix did a stellar job conveying crazy, but the weak & predictable writing disabled my ability to suspend disbelief as the movie slogged through the same formula ad nauseam. A series of unfortunate events and the resulting heavy handed depiction of ""crazy"" got dull fast, leading up to an ending that made little sense in the context of the first half of this film. Would not watch again.… Expand",3,1,"Jan 12, 2020"
WERMIX,"Best movie 2019, é muito incrivel, do começo ao fim pois o mesmo basea na vida de sofrida!!",10,2,"Jan 13, 2020"
Bukyx,"Buena, pero algo sobrevalorada solo por llamarse JOKER, un guion con mula profundidad que se basó demasiado en 2 peliculas de Martin scorsesse",7,1,"Jan 13, 2020"
RomanMatiukhov,It was a wonderful movie. You literally see how Arthur slowly turns into Joker.,9,2,"Jan 13, 2020"
Rick-Cast,"I'm honestly torn between giving this film a 9 or a 10. Fact is this however, this film is Todd Phillip's freaking masterpiece! It's beautifully shot, scored, and acted. The story is compact, effective, well paced and a powerful ending.ThereI'm honestly torn between giving this film a 9 or a 10. Fact is this however, this film is Todd Phillip's freaking masterpiece! It's beautifully shot, scored, and acted. The story is compact, effective, well paced and a powerful ending.There is an excellent mix of reality and his delusions which leaves the viewer guessing(one of my favorite parts).There are some downsides that the character may be too sympathetic. That’s not the Joker from The Dark Knight, Dark Knight Returns or Killing Joke. Sure, he may eventually be the villain we know in the comics. But this isn’t the Joker we know. This is the Joker you sympathize with, and that makes Joker less scary. Disturbing, but not scary. The people he killed “deserved” it...or did they???Overall, this amazing origin story of an iconic comic book villain with a hint of a Scorsese style is a film that nobody deserves, but the one we needed.… Expand",9,4,"Jan 13, 2020"
LuckyDampe,"Amazing movie, joaquin was flawless. A really refreshing movies in this wave of mainstream super hero movies",9,3,"Jan 13, 2020"
ericacmaciel,Quando eu saí do cinema eu não sabia exatamente o que dizer sobre o filme por me faltarem palavras.,10,1,"Jan 13, 2020"
ItalodosSantos,"Sem dúvidas o meu Coringa favorito, extremamente realista e completamente palpável.",10,0,"Jan 13, 2020"
LuciusMcGibbon,A challenging character exploration executed with a deft hand. A lot of movies will waste your time. This movie will not.  End of review.,10,0,"Jan 13, 2020"
br_1245,De um filme que não parecia ter razão para existir para um filme excelente. Transcende a bolha dos fás de quadrinhos e entrega um conteúdo bem bacana de ser consumido e debatido por semanas. Um dos melhores filmes de 2019.,9,1,"Jan 13, 2020"
bwal,"This film is a masterpiece. Every element of filmmaking utilised is both individually brilliant, but more importantly reflexively cohesive. The music, the cinematography, Joaquins performance - it is all oscar-winningly superb, and all addsThis film is a masterpiece. Every element of filmmaking utilised is both individually brilliant, but more importantly reflexively cohesive. The music, the cinematography, Joaquins performance - it is all oscar-winningly superb, and all adds up to something greater than the sum of its parts. Many people put '10' or '0' in large user review pools so their review has maximum impact. In this instance however, Joker is a 10 any which way you look at it.… Expand",10,2,"Jan 13, 2020"
Xenomorph91,"I can't think of anything they could have done to make this movie better, it was perfect in my eyes. One of my favorite movies now.",10,2,"Jan 14, 2020"
Swotch,"Один из лучших фильмов по комиксам после Тёмного Рыцаря. Сюжет, операторская работа, звук, всё на высоте.",10,1,"Jan 14, 2020"
Dferrax,Uma suculenta melancia no meio dos tão comuns filmes baseados em quadrinhos,10,1,"Jan 14, 2020"
AlexTheWise,"Wow, I was thinking it would be good but I was wrong, it is amazing. This film is a must-watch!  It is a nice break from the action-packed hero stuff we've gotten used to and I'd rewatch this in a heartbeat. Weird how we had something amazingWow, I was thinking it would be good but I was wrong, it is amazing. This film is a must-watch!  It is a nice break from the action-packed hero stuff we've gotten used to and I'd rewatch this in a heartbeat. Weird how we had something amazing and different with Joker, then shortly after, something as bad as the batgirl series.… Expand",9,1,"Jan 14, 2020"
MaksCool,Ахуенный фильм от dc наконецто про джокера выпустили фильм и он ахуенный и я ебал всех метокритиков,8,1,"Jan 14, 2020"
SaadAlmighty,"I like the movie so much, I don't know, Is it because I was depressed and weak to or whatever. I was satisfied with the end of the movie it, and phoenix was Excell in this role.",9,1,"Jan 14, 2020"
Neo898,"The overhype around this movie is kind of annoying, but it's still very good.",9,2,"Jan 14, 2020"
natgreystar,"This movie fell short of its potential, held back by a desperate attempt to push the story into the world of Gotham. It reeks of property cash in and that's what destroys the possibility for this being a great movie... that and the writersThis movie fell short of its potential, held back by a desperate attempt to push the story into the world of Gotham. It reeks of property cash in and that's what destroys the possibility for this being a great movie... that and the writers don't seem to understand character Arthur as they can't keep his profile straight. This COULD have been a masterpiece but they demolished everything they created with a search and replace of a dark grim reality with the words ""Gotham"", ""Wayne"", and ""Joker"". So it results with a rating of ""yeah that was a movie"" instead of ""wow what a statement"".Everyone has their opinion of what this movie ""is"" but I'm going to tell you it's not about mental health, it's not about the character the Joker or the world of DC, it's not about an incel, and it's definitely not about social inequality. This is not your hero. It's not deep, it's not riveting, and it barely scratches the surface of what it's attempting.This is failed character development in a movie that went from amazing to what the heck am I watching 50 minutes in. This movie was about making money. Plain and simple. The story is convoluted and confused. It NEEDS to be part of the DC universe and that is actually what ruins it. Reality is far more grim than Gotham and that alone pulls away any impact this movie had.For an ""origin story"" the movie spends only 10ish minutes establishing who Arthur is, only to completely pivot away from that and demolish his character with decisions he would never make. It abandons the plot of his own character for a tie-in with Thomas Wayne repeatedly, which feels forced and unwanted. If you cut out all of the Gotham references and change the ending it would be a much better film, but it would have made less than half the money and not had a gaggle of fanboys drooling over it for two years.Is this movie worth watching? Sort of. It's not ""good"" because of everything I mentioned and the script is just not great. It gets mental health completely wrong. It has bad character development. Literally nothing makes sense and no one in this movie has any importance or relevance outside of Arthur, who the movie establishes as two maybe even three different characters. It falls way short of establishing social equity and the importance of humanism.Anyone giving this over an 8 is merely grasping at the straws meant to build this into a failed version of the DC character Joker. Anyone actually analyzing this movie and the characters for what they are would rate this below a 7. It's bad writing. It's bad character development. The plot is convoluted. It's a cash in. Most of all it's an art house film trying to be mainstream that doesn't know it is badly written. Todd Phillips knows how to do one thing right, make money off of stupid people. His history of movies definitely proves that.In the end this movie will get undeserved awards for all of the wrong reasons and critically acclaimed for a sad reach that writers need to be liked and get clicks. In the end this was not a great movie and it will be forgotten and left behind. I think the fact it's getting a sequel actually proves this is a cash-in and not worth your time. This should have made its statement, should have been a real world not a fictional one, and it should have been left there.Joker can be summed up in one word I went to over and over again... desperate.… Expand",5,4,"Jan 14, 2020"
Mannonee,That is why I am love DC now. It is a point of start of the brand new DC Universe films about Batman and others. Absolutely awesome atmosphere and dramatic storyline. Powerful and Faithful.,9,2,"Jan 15, 2020"
Tyranian,One of the best origin-story films with an excellent performance by Phoenix.,7,0,"Jan 15, 2020"
andreaaleman1,A little too emotional for me. Joaquin Phoenix is amazing but I cried a few times while watching!,5,0,"Jan 15, 2020"
puntman,"Finally watched this film. It is such an amazing film - incredibly disturbing but amazing! Fantastic cinematography, amazing acting, superbly written. Joaquin Phoenix's version of the Joker really connected with Heath Ledger's version.Finally watched this film. It is such an amazing film - incredibly disturbing but amazing! Fantastic cinematography, amazing acting, superbly written. Joaquin Phoenix's version of the Joker really connected with Heath Ledger's version. Joaquin's performance is riveting.… Expand",10,2,"Jan 15, 2020"
fifi3,"This review contains spoilers, click expand to view.
        
This is a flawed, yet very, very good film. The main problem I had with it was the lack of realism pertaining to the descent to madness. Particularly, a talk show host making fun of you and flat out bullying you? Or a group of kids randomly jumping you? If you look at a superior film with this subject matter in Taxi Driver, you see a much more realistic and nuanced descent. Not to mention, while I like the homage to that film, at times it feels like a cheap knock off of it.It has lovely shots. And, most importantly, Joaquin Phoenix delivered an absolutely all-time performance that was jaw-dropping from start to finish. In my personal opinion, he should win Best Actor. I just wish the movie around him was a bit more well rounded, even if it was engaging and entertaining.… Expand",7,0,"Jan 16, 2020"
Tommyg31,"The Joker has cleverly given us a picture of today through the eyes of the 70’s. Allowing those who are naive to believe the issues raised in the movie are something of the past. The real tone of the movie should move people to act on theThe Joker has cleverly given us a picture of today through the eyes of the 70’s. Allowing those who are naive to believe the issues raised in the movie are something of the past. The real tone of the movie should move people to act on the current socio and political environment in our so called free world. This movie explains in a clear way, when the wealthy lead people, they no nothing of the hardships felt by those Who have felt the bitter taste of misfortune. This is not a movie for the people that enjoy a hero movie, this movie is for the humans who are on the precipice of action and those that can see the injustice in every day.… Expand",10,0,"Jan 17, 2020"
Autho,"This review contains spoilers, click expand to view.
        
Pretty good movie. However, there were no deeper themes and it was very straightforward. It would be a 7, but Phoenix's performance really sold the character for me. Arthur Fleck felt like a real person the entire time. The way he reacted after killing Murray was one example. The shaking of his leg and how he laughed looking at Murray afterwards looked really natural and like a real person's reaction. Phoenix made an ok character arc into a great one. Worth a watch, definitely.… Expand",8,0,"Jan 17, 2021"
Play4Blood,Awe inspiring. Incredible attention to detail. You notice more of this movie's genius with every subsequent viewing.,10,0,"Jan 18, 2020"
amralchalati,"Just give this guy and the movie an Oscar.Great story, acting and cinematography! You should go and watch it! And ignore the criticism as the media wants a movie to check theirs own boxes.",10,0,"Jan 19, 2020"
OldSilentHill,Impressive acting by Phoeanix a well worthy Oscar performancw if he gets to win the award !,10,0,"Jan 20, 2020"
Albertvila_02,"Gran película, gran director y gran Actor, me quito el sombrero ante Joaquin Phoenix ya que ha sido la mejor actuación que e visto en mi vida. La verdad es que la pelicula es bastante...fuerte, por asi decirlo. Mira que no soy fan de losGran película, gran director y gran Actor, me quito el sombrero ante Joaquin Phoenix ya que ha sido la mejor actuación que e visto en mi vida. La verdad es que la pelicula es bastante...fuerte, por asi decirlo. Mira que no soy fan de los thrillers ni nada, pero esta pelicula es la gran excepción. Mis 100/10 para esta maravilla.… Expand",10,0,"Jan 20, 2021"
TurboSquirtle,"Anybody saying this movie is a masterpiece is reacting to the professional critics emotionally. Now I can get why some people might like this movie but I just couldn't enjoy it. It was too dark and depraved. What an awful movie to releaseAnybody saying this movie is a masterpiece is reacting to the professional critics emotionally. Now I can get why some people might like this movie but I just couldn't enjoy it. It was too dark and depraved. What an awful movie to release into the world. Joaquin Phoenix gave an excellent performance though and to some credit, it's just not my taste.… Expand",4,1,"Jan 21, 2020"
dasha_p,"Metacritic is a joke, and this review page shows exactly why it is so. Critics are out of touch and overwhelmingly biased, and are thus quickly losing any credibility they might have had left. Their days are surely numbered.That said,Metacritic is a joke, and this review page shows exactly why it is so. Critics are out of touch and overwhelmingly biased, and are thus quickly losing any credibility they might have had left. Their days are surely numbered.That said, 'Joker' is a masterpiece and should surely be commended - although I am no fan of the man, it is irrefutable that Phoenix did a fantastic job and portrayed the Joker phenomenally. Definitely in my top 3 films of the 2010's.… Expand",10,0,"Jan 22, 2020"
Nbecarri,"In my opinion, it is a masterpiece and the best film of the year. This movie also, possibly, gave us Joaquin Phoenix's best performance!",10,0,"Jan 22, 2020"
MrWolfy_,"'Joker' was a dark, thrilling, and brilliant film that made you go 'wow'. The film brought out such fear and disturbance that you typically wouldn't see in these types of superhero movies.The acting was just PHENOMENAL. Joaquin Phoenix'Joker' was a dark, thrilling, and brilliant film that made you go 'wow'. The film brought out such fear and disturbance that you typically wouldn't see in these types of superhero movies.The acting was just PHENOMENAL. Joaquin Phoenix (Joker/Arthur Fleck) had one of the best most spectacular performances of the year! It was a perfect display of mental illness and sometimes you can just FEEL what the Joker was going through as Phoenix displays such amazing raw talent. I also believe Robert De Niro displayed a good performance as well as acting as Murray Franklin, a popular talk-show host. He really felt like an actual talk show host and his acting towards the end was fantastic. 'Joker' excels greatly in certain scenes, especially towards the end. To avoid spoilers, the scenes towards the end of the film is just ASTONISHING. It's worth watching on its own! The camerawork and music cues were splendid as well.Unfortunately, I believe there were a couple of flaws in the film which can be subjective. I deeply apologize but I think the film's pacing was a little bit off at times. It was slow at times.Otherwise, it's one of, if not, the best film of 2019. I would give this a 9.5 if I could. The critics' reviews are honestly questionable at a glance. To conclude, THIS FILM WAS FLAT-OUT ASTOUNDING AND TERRIFYING!… Expand",10,1,"Jan 22, 2020"
esvator,"Hands down. For me Joker is the best movie in the past 2 years!The way the story is told around a tragic fate is fascinating. The film manages to show the dreary and gray world on the edge of the human abyss and thus softens the boundariesHands down. For me Joker is the best movie in the past 2 years!The way the story is told around a tragic fate is fascinating. The film manages to show the dreary and gray world on the edge of the human abyss and thus softens the boundaries between good and evil. Very moving. Powerful images, tragic story, society critical, good dialogues and film music. A huge upgrade for all Gotham City fans, telling the perhaps most exciting villain in film history and giving him a face behind the ""mask"". Every human has his story. Simply ingenious!… Expand",10,0,"Jan 22, 2021"
AngryDunkey,"This movie is a modern masterpiece, I've never watched such an interesting movie. Enough said.",10,0,"Jan 23, 2020"
ajzeg01,"Well, I FINALLY got around to seeing the controversial and wildly popular film, Joker: the most profitable comic book movie and the highest-grossing R-rated movie of all time. Now, I intentionally avoided seeing this movie when it came out.Well, I FINALLY got around to seeing the controversial and wildly popular film, Joker: the most profitable comic book movie and the highest-grossing R-rated movie of all time. Now, I intentionally avoided seeing this movie when it came out. Not because I wasn’t interested in seeing it or because I thought I wouldn’t like it, but because of the hype and the controversy. Seemingly, all the reactions were either “If you like this movie, you’re an incel and a school shooter!” or “If you don’t like this movie, you’re an SJW and a shill!” and I just hate that black-and-white mentality when it comes to movies, or anything really. I find it really obnoxious. I was sick of hearing about it everywhere so I just stayed away. However, months later, the hype has died down, no one has gotten shot or killed because of this movie and it’s finishing its theatrical run. I paid $5 and saw it at the second-run theatre. What did I think of it? I loved it, but this movie is not perfect. I’ll get the negatives out of the way first since there aren’t a lot of them. I thought the writing was way too unsubtle, obvious and on-the-nose. This film is very clear about what it is saying and it hits you on the head with it, almost like they’re dumbing it down for audiences who aren’t used to watching introspective dramas like this and otherwise wouldn’t if it weren’t based on a famous comic book supervillain. It can make you roll your eyes sometimes. There weren’t too many of those moments for me, but your mileage my vary. Also, there really was no point in setting this in the late 70s/early 80s. I know it’s paying homage to famous Joker stories from the 80s like The Killing Joke and The Dark Knight Returns, as well as Martin Scorsese movies from the 70s and 80s like Taxi Driver and The King of Comedy, but you can do an homage without making a period piece. You could set the story in modern-day and it wouldn’t change at all. In fact, some things would make more sense if it were set in a world of social media and mobile phones. You’ll see what I mean if you see the movie. I also think some aspects of this movie would’ve been stronger if they showed rather than told. This movie needed more flashbacks, it would’ve been way more powerful. However, with all that said, I still loved it. I thought it was great. This movie is not fast. It’s not fun. There isn’t much action or comedy. It’s darker and more serious than The Dark Knight. Just know that going in. This is not your typical comic book movie. It’s more A History of Violence than The Dark Knight. Joaquin Phoenix’s performance as the titular character is INCREDIBLE. He’s both sympathetic and scary and adds so many little nuances and special touches to his performance to make it completely his own. This Joker is very much unlike any other Joker we’ve gotten in other movies. It was refreshing, especially after the Suicide Squad fiasco. A lot of the other performers aren’t half bad either, it was cool to see Robert DeNiro in a comic book movie. This movie is beautiful. It’s shot really well and I loved the setdressing. Everything is dirty and grimy and disgusting with garbage everywhere, we’re a long way from the Gotham City of Joel Schumacher’s Batman movies! The score was also haunting and beautiful, with some great music choices for the soundtrack. No Twenty One Pilots here! I also thought this movie was really thematically rich and relevant. It has tons of social commentary about mental health, class, bullying, abuse, trauma, social isolation, gun violence, the media and more. Some might say this film bites off more than it can chew, it does try to juggle a lot of different themes at once, but I think it worked. This movie also connects with the larger mythology of Batman in very clever ways, leaving the door open to possible sequels and spinoffs. I don’t want that, personally, but it’s cool that this movie is also a Batman origin story, in a way. Joker and Batman are still two parts of a whole, even in Joker’s own movie. Overall, Joker is a flawed but great movie. It’s not for everyone and I definitely understand where a lot of the criticism of the film itself is coming from, but I still loved it and recommend it to any fan of psychological character studies or crime dramas, not just superhero movies. I hope it wins some Oscars!… Expand",8,0,"Jan 23, 2020"
RatedRex,"Why are fanboys so fascinated with despicable people?  Joker, Darth Vader, Hitler, Trump?  I thought ""Joker"" was a very creative story, although I thought it to be too dark, maybe even a little sick.  Joaquin was ok, but every actor who playsWhy are fanboys so fascinated with despicable people?  Joker, Darth Vader, Hitler, Trump?  I thought ""Joker"" was a very creative story, although I thought it to be too dark, maybe even a little sick.  Joaquin was ok, but every actor who plays the Joker gets rave reviews because the role embodies so much self-expression.  I'm giving it a 7 based on the original story and the creative writing.… Expand",7,0,"Jan 23, 2020"
Gwynjames,"Just watched joker,wasn’t sure about it really,but thought it was very good,quite disturbing how he is treated all his life,JP as joker was excellent must be in the running for best actor in a leading role at the oscars,9/10",9,0,"Jan 23, 2020"
acoolguy,"Pretty much a modern rendition of Taxi Driver with a comic book backdrop. Easily one of the best movies of 2019, don't let the critics fool you.",9,0,"Jan 24, 2020"
ArthurMorgan,"Ignore the negative reviews.'Joker' predictably alienates soft, cowardly critics and viewers who are too politically-obtuse and morally irresponsible to acknowledge the atomic force and brutal truth of the ugly, devastating dilemma that isIgnore the negative reviews.'Joker' predictably alienates soft, cowardly critics and viewers who are too politically-obtuse and morally irresponsible to acknowledge the atomic force and brutal truth of the ugly, devastating dilemma that is wrought out to perfection by Joaquin Phoenix and director Todd Phillips. Of the two I've spoken to that walked out halfway through the film, both are delusionally cynical, falsely optimistic people who are excruciating to deal with, so devoid of genuine humanism they are.And that's the point. The critics who insult this film with their offensively ignorant and dismissive reviews are the morally aloof, narcissistic tunnel-visionists who refuse to accept that their failure to acknowledge and grasp the pain and suffering of the most unfortunate and abused members of society is precisely what turns the Arthur Flecks of this world into Jokers. This film puts them on trial, and the verdict is guilty.Beautiful, haunting, and unforgettable, Joker offers a rare glimpse into how and why a heart can sink into darkness. Phoenix's brilliant, selfless performance fills that space in the shadow cast by the nearsighted, villainous Ayn Rands of this world, the ones who fail to offer compassion and understanding to those who need it most.This is the desperately necessary, bloody-brush-stroked 'One Flew Over The Cuckoo's Nest' that sensitive, disgusted millennials have been waiting for. It's a hymn of outrage in a time of political despair and tyranny of truth, and it's the best picture of 2019.… Expand",10,1,"Jan 24, 2020"
Sweeney-Todd,"It’s pretty good, I think the critics have no idea what they’re talking about in this case. but at the same time, it isn't as good as people are saying. People are acting like their life has changed and humanity was reborn but better.",8,0,"Jan 24, 2021"
Littlewazzock,"This review contains spoilers, click expand to view.
        
Critics have defo got this wrong If ur looking for political rubbish or sentimental crap this ain't your film It's dark and violent and show the mental break down of lonely depressed man who tool his anger and shame and instead of killing himself he became art. Always keep a smile… Expand",10,0,"Jan 25, 2020"
BARAALHEALY,just great epic movie in every whey the acting is awesome .epic epic loved it,10,0,"Jan 25, 2020"
Recep,Evet film güzel ancak aşırı derecede gereksiz filmin gidişatını yavaşlatan sahneler var bunun dışında hikayeyi güzel bir biçimde aktarıyor ama filmin sonu hariç hiç bir aksiyonlu jokeri yansıtan işler yok sırf jokeri karakterinin nasılEvet film güzel ancak aşırı derecede gereksiz filmin gidişatını yavaşlatan sahneler var bunun dışında hikayeyi güzel bir biçimde aktarıyor ama filmin sonu hariç hiç bir aksiyonlu jokeri yansıtan işler yok sırf jokeri karakterinin nasıl doğduğu nasıl bu hale geldiğini bayağı bi anlatıyor film idare eder ancak izlemezsenizde bir şey kaybetmezsiniz… Expand,6,0,"Jan 25, 2020"
Matt000006,"This movie it’s perfect. A masterpiece, film of the decade! It’s all perfect. 100/10",10,1,"Jan 25, 2020"
Ksyfer,A great movie with great acting and portrayal of reality. Is been too long since we saw a great movie. This is it.,10,1,"Jan 25, 2020"
MVS_ATEO,"Very entertaining and good, the movie knows how to put tension and the performance of Joaquín Fénix is ​​excellent. 100% recommended.",8,0,"Jan 26, 2021"
Wizzle,"Great plot and acting. It portrays a society where Antifa-like socialists endeavor to overthrow government with violence. It displays how the fruits of Arthur’s parent’s actions manifest in Arthur’s pain that when not healed, festers into aGreat plot and acting. It portrays a society where Antifa-like socialists endeavor to overthrow government with violence. It displays how the fruits of Arthur’s parent’s actions manifest in Arthur’s pain that when not healed, festers into a degraded life.  It’s one of the better movies in the last few years.… Expand",10,0,"Jan 27, 2020"
leoterra,"ok, let's talk about Joker, probably the most amazing movie of recent times. This film is very different, it's a very different storyline. The script is very well written, it demonstrates well the mental insanity of the protagonist, whichok, let's talk about Joker, probably the most amazing movie of recent times. This film is very different, it's a very different storyline. The script is very well written, it demonstrates well the mental insanity of the protagonist, which propagates in the dialogues. Todd Phillips' direction is very well done, obviously it is a very different job compared to his work on The Hangover, here his direction is invasive and cautious. We can not fail to mention the magnificent and anthological performance of Joaquin Phoenix, who is sensational, it is really difficult to express words to describe this fantastic performance. Another incredible point of the film is its soundtrack, which is very good and deserves to win an Oscar. Joker is a very heavy film, it really is not for anyone. The film presents the basic coalitions with the D.C universe, but the focus in this film is really the presentation of the origin of the joker. I will make a small mention of Robert de Niro's performance, which despite doing a simple and basic performance, is an interesting performance that has a lot to do with the main character's arc. To conclude, Joker is a film that, despite being very heavy, is a beautiful character study, with a very good script, and a magnificent performance by Joaquin Phoenix, Oscar winner.… Expand",10,1,"Jan 27, 2020"
CharlieSG,It don't get no better than this!  Phoenix really does this justice and the story made it just grand.  Best actor nod ... no doubt. I rented this one with a negative 'I will give it a shot' and was thoroughly surprised and glad I did.  You doIt don't get no better than this!  Phoenix really does this justice and the story made it just grand.  Best actor nod ... no doubt. I rented this one with a negative 'I will give it a shot' and was thoroughly surprised and glad I did.  You do not have to be a Batman fan to appreciate this movie.  Best picture seems very possible.… Expand,10,1,"Jan 28, 2020"
